date,weighted_sentiment,num_stocks,weight_percentage,sentiment_ma7
2016-04-24,0.23098133744806726,0,0.0,0.2403080670190652
2016-04-25,0.2624747786095658,2,1.725,0.22927624453351786
2016-04-26,0.07675754809919512,2,6.1899999999999995,0.19717329562443728
2016-04-27,0.2853526990069386,1,4.215,0.2135392408509995
2016-04-28,0.14294417973958268,1,0.11,0.20096250403550173
2016-04-29,0.08363884715431388,2,0.27,0.17616900334196134
2016-04-30,0.13628616426808698,1,0.19,0.17406222204653576
2016-05-01,0.09273754734040453,1,1.15,0.15431310917401247
2016-05-02,0.13628616426808698,0,0.0,0.13628616426808696
2016-05-03,0.2650559328067865,2,0.8,0.16318593351202856
2016-05-04,0.20748074845370773,1,0.06,0.15206136914728133
2016-05-05,0.20495670792595577,3,0.6649999999999999,0.16092030174533462
2016-05-06,0.14992802891397627,3,1.5200000000000002,0.17039018485385782
2016-05-07,0.20939159349878805,1,0.36,0.18083381760110084
2016-05-08,0.18380906101204364,1,1.15,0.1938440338399064
2016-05-09,0.2035184354483021,0,0.0,0.20344864400850857
2016-05-10,0.31865407923693456,4,0.8250000000000001,0.21110552206995828
2016-05-11,0.27908192975380475,0,0.0,0.22133426225568645
2016-05-12,0.27908192975380475,0,0.0,0.23192357965966487
2016-05-13,0.33161570126171486,1,4.215,0.25787896142362754
2016-05-14,0.27908192975380475,0,0.0,0.2678347237457728
2016-05-15,0.27908192975380475,0,0.0,0.28144513356602435
2016-05-16,0.18697600876276488,1,4.215,0.27908192975380475
2016-05-17,0.0356875141108518,1,4.215,0.23865813473579292
2016-05-18,0.03568751411085178,0,0.0,0.20388750392965677
2016-05-19,0.09303111682721796,3,0.9500000000000002,0.17730881636871582
2016-05-20,-0.04439271131179127,4,0.49,0.12359332885821495
2016-05-21,0.04929751094714017,1,0.23499999999999996,0.0907669833144057
2016-05-22,0.03568751411085178,0,0.0,0.05599635250826957
2016-05-23,0.04481413998084028,1,0.8750000000000001,0.03568751411085177
2016-05-24,0.2891148374476575,1,0.52,0.07189141744468117
2016-05-25,0.2891148374476575,0,0.0,0.10809532077851054
2016-05-26,0.29207691706097344,1,4.215,0.13653043509761845
2016-05-27,0.2883013718186035,4,6.74,0.18405816125910343
2016-05-28,0.2891148374476575,0,0.0,0.2183177793306059
2016-05-29,0.2891148374476575,1,1.05,0.2545216826644353
2016-05-30,0.2891148374476575,0,0.0,0.28942178230255206
2016-05-31,0.09520935883184717,0,0.0,0.26172099964315054
2016-06-01,0.035804852608961726,2,0.4,0.22553385895190828
2016-06-02,0.09520935883184717,1,0.36,0.19740992206203312
2016-06-03,0.15461386505473262,1,1.54,0.17831170681005157
2016-06-04,0.09520935883184717,0,0.0,0.1506109241506501
2016-06-05,0.09520935883184717,0,0.0,0.12291014149124861
2016-06-06,0.09520935883184717,0,0.0,0.09520935883184715
2016-06-07,0.12955471451108497,1,0.8750000000000001,0.1001158382145954
2016-06-08,0.12955471451108497,0,0.0,0.11350867562918444
2016-06-09,0.12955471451108497,0,0.0,0.1184151550119327
2016-06-10,0.12955471451108497,0,0.0,0.11483527636284019
2016-06-11,0.15496674986610431,1,0.22999999999999998,0.1233720465105912
2016-06-12,0.18957673816638293,1,0.22999999999999998,0.13685310070123918
2016-06-13,0.04412065550076763,1,4.81,0.12955471451108494
2016-06-14,0.0099276128473092,1,4.81,0.11246512855911697
2016-06-15,0.009927612847309197,0,0.0,0.09537554260714902
2016-06-16,0.009927612847309197,0,0.0,0.07828595665518104
2016-06-17,0.009927612847309197,0,0.0,0.061196370703213085
2016-06-18,0.009927612847309197,0,0.0,0.040476493986242354
2016-06-19,0.009927612847309197,0,0.0,0.014812333226374671
2016-06-20,0.009927612847309197,0,0.0,0.009927612847309182
2016-06-21,0.05822600872297515,1,0.36,0.016827383686690033
2016-06-22,0.11255794184829573,3,1.095,0.03148885925825954
2016-06-23,0.1208027341128099,2,0.845,0.047328162296188206
2016-06-24,0.022007641531538436,3,1.5550000000000002,0.04905388067964953
2016-06-25,-0.024850662541259574,3,0.605,0.044085555624139704
2016-06-26,0.053157510329259174,0,0.0,0.05026125526441827
2016-06-27,0.030529753880001932,1,0.195,0.053204418269088664
2016-06-28,0.10333797273090857,2,0.29500000000000004,0.0596489845559363
2016-06-29,0.16536684846571684,2,0.5,0.06719311407271074
2016-06-30,0.058599980634299095,3,0.7899999999999999,0.058307006432923476
2016-07-01,0.18513208886937554,3,0.6950000000000001,0.08161049890975734
2016-07-02,0.13604045396774106,0,0.0,0.10459494412532887
2016-07-03,0.13604045396774106,0,0.0,0.11643536464511198
2016-07-04,0.1677653791384052,1,0.22999999999999998,0.13604045396774103
2016-07-05,0.15648723957423225,2,0.715,0.14363320637393012
2016-07-06,0.21425501077133716,2,0.26500000000000007,0.15061722956044732
2016-07-07,0.2305994836185174,2,1.22,0.17518858712962135
2016-07-08,0.2312444355248968,1,0.2,0.18177606522326725
2016-07-09,0.08544048089473975,1,0.2,0.17454749764140992
2016-07-10,0.19359871240884524,0,0.0,0.18277010599013907
2016-07-11,0.243565624069348,1,0.22999999999999998,0.1935987124088452
2016-07-12,0.330263812665429,2,0.5599999999999999,0.21842393713615907
2016-07-13,0.24031512540531394,2,0.89,0.22214681065529857
2016-07-14,0.3022715491985189,2,4.3999999999999995,0.23238567716672737
2016-07-15,0.3018182238540926,8,4.875,0.24246764692804104
2016-07-16,0.29592400015897086,1,0.14,0.2725367211086455
2016-07-17,0.29592400015897086,0,0.0,0.28715461935866343
2016-07-18,0.31203381418736287,2,0.185,0.2969357893755227
2016-07-19,0.18265892159007002,3,0.46499999999999997,0.27584937636475715
2016-07-20,0.2814088134836568,2,0.42,0.2817199032330918
2016-07-21,0.08023891962780005,4,1.6500000000000001,0.25000095615156054
2016-07-22,0.3222899305260383,3,0.49499999999999994,0.2529254856761242
2016-07-23,0.19213558581006324,4,0.63,0.238098569340566
2016-07-24,0.18789841153428802,1,0.19,0.22266634239418276
2016-07-25,0.3713730846645189,2,0.49,0.23114338103377646
2016-07-26,0.15649139182799165,1,0.325,0.22740516249633672
2016-07-27,0.14283900913065561,5,5.300000000000001,0.20760947616019368
2016-07-28,0.17747481278327418,5,5.375000000000001,0.22150031803954712
