Date,EURUSD,GBPUSD,EURGEL,USDGEL,GELRUB,GELTRY,USDAMD,USDAZN,USDRUB,USDTRY
2025-04-03,1.090869426727295,1.3046314716339111,3.0111,2.725,30.1963,13.6224,391.32,1.695,82.2849175,37.12104
2025-04-04,1.1043744087219238,1.308866262435913,2.9823,2.7223,30.3689,13.6544,391.22,1.695,82.67325647,37.171373120000005
2025-04-07,1.098454475402832,1.2910722494125366,2.9681,2.722,30.9653,13.6422,391.14,1.695,84.2875466,37.134068400000004
2025-04-08,1.0915361642837524,1.2734960317611694,2.9855,2.725,30.8242,13.6247,391.01,1.695,83.995945,37.1273075
2025-04-09,1.0980443954467773,1.2790995836257935,2.9841,2.725,30.932,13.6311,391.78,1.695,84.2897,37.1447475
2025-04-10,1.0952062606811523,1.2825446128845215,3.0512,2.725,29.9804,13.6074,391.08,1.695,81.69659,37.080165
2025-04-11,1.1257838010787964,1.2992074489593506,3.0891,2.7193,29.9197,13.6076,391.07,1.695,81.36064021,37.00314668
2025-04-14,1.1343141794204712,1.3085237741470337,3.0892,2.722,29.5651,13.6627,390.92,1.695,80.4762022,37.1898694
2025-04-15,1.1339668035507202,1.3174536228179932,3.0684,2.72,30.0523,13.6973,390.68,1.695,81.742256,37.25665600000001
2025-04-16,1.1292672157287598,1.323101282119751,3.0991,2.719,29.8652,13.7204,391.27,1.695,81.2034788,37.305767599999996
2025-04-17,1.1396790742874146,1.3233989477157593,3.0873,2.717,29.5897,13.5429,390.94,1.695,80.3952149,36.7960593
2025-04-22,1.1512778997421265,1.3379716873168945,3.1372,2.747,29.6814,13.9309,390.51,1.7,81.5348058,38.2681823
2025-04-23,1.1351252794265747,1.327316164970398,3.1082,2.747,30.2184,13.9452,389.56,1.7,83.0099448,38.3074644
2025-04-24,1.132733702659607,1.326453447341919,3.1287,2.747,30.2913,13.961,389.56,1.7,83.21020109999999,38.350867
2025-04-25,1.1371906995773315,1.3326226472854614,3.122,2.747,30.0819,13.9892,390.33,1.7,82.6349793,38.4283324
2025-04-28,1.1343141794204712,1.3290096521377563,3.1377,2.747,30.091,13.9935,390.33,1.7,82.659977,38.440144499999995
2025-04-29,1.1409143209457397,1.3436164855957031,3.1287,2.748,29.8435,14.0016,390.33,1.7,82.009938,38.4763968
2025-04-30,1.1389262676239014,1.3410794734954834,3.1108,2.746,29.8652,14.0188,389.94,1.7,82.0098392,38.4956248
2025-05-01,1.1324899196624756,1.3323917388916016,3.1009,2.746,29.8652,14.0032,389.94,1.7,82.0098392,38.452787199999996
2025-05-02,1.1296498775482178,1.3286387920379639,3.1008,2.745,30.1494,14.0527,389.41,1.7,82.760103,38.5746615
2025-05-05,1.1323232650756836,1.3271929025650024,3.1036,2.743,29.6463,14.0647,389.46,1.7,81.31980089999999,38.5794721
2025-05-06,1.1313369274139404,1.3292568922042847,3.119,2.743,29.7156,14.0822,389.46,1.7,81.5098908,38.6274746
