Date,Volume
8/24/2021,"1,660,000,000"
8/25/2021,"1,860,000,000"
8/26/2021,"1,710,000,000"
8/27/2021,"1,590,000,000"
8/31/2021,"1,890,000,000"
9/1/2021,"1,660,000,000"
9/2/2021,"1,530,000,000"
9/3/2021,"1,770,000,000"
9/6/2021,"1,700,000,000"
9/7/2021,"1,850,000,000"
9/8/2021,"1,950,000,000"
9/9/2021,"1,690,000,000"
9/10/2021,"1,510,000,000"
9/13/2021,"1,600,000,000"
9/14/2021,"1,740,000,000"
9/15/2021,"1,610,000,000"
9/16/2021,"1,540,000,000"
9/17/2021,"1,540,000,000"
9/20/2021,"1,740,000,000"
9/21/2021,"1,700,000,000"
9/22/2021,"1,500,000,000"
9/23/2021,"2,680,000,000"
9/24/2021,"2,030,000,000"
9/27/2021,"1,680,000,000"
9/28/2021,"1,870,000,000"
9/29/2021,"1,720,000,000"
9/30/2021,"2,070,000,000"
10/1/2021,"1,530,000,000"
10/4/2021,"1,580,000,000"
10/5/2021,"1,670,000,000"
10/6/2021,"2,270,000,000"
10/7/2021,"2,050,000,000"
10/8/2021,"1,930,000,000"
10/11/2021,"1,700,000,000"
10/12/2021,"2,140,000,000"
10/13/2021,"2,560,000,000"
10/14/2021,"1,780,000,000"
10/15/2021,"2,610,000,000"
10/18/2021,"2,050,000,000"
10/19/2021,"1,910,000,000"
10/20/2021,"2,210,000,000"
10/21/2021,"3,430,000,000"
10/22/2021,"2,710,000,000"
10/25/2021,"3,060,000,000"
10/26/2021,"2,250,000,000"
10/27/2021,"2,930,000,000"
10/28/2021,"1,100,000,000"
11/1/2021,"2,570,000,000"
11/2/2021,"2,650,000,000"
11/3/2021,"4,390,000,000"
11/4/2021,"4,000,000,000"
11/5/2021,"3,140,000,000"
11/8/2021,"3,180,000,000"
11/9/2021,"4,440,000,000"
11/10/2021,"3,400,000,000"
11/11/2021,"4,060,000,000"
11/12/2021,"2,830,000,000"
11/15/2021,"4,670,000,000"
11/16/2021,"4,890,000,000"
11/17/2021,"3,380,000,000"
11/18/2021,"6,130,000,000"
11/19/2021,"3,620,000,000"
11/22/2021,"2,700,000,000"
11/23/2021,"5,640,000,000"
11/24/2021,"5,030,000,000"
11/25/2021,"3,400,000,000"
11/26/2021,"3,830,000,000"
11/29/2021,"3,040,000,000"
11/30/2021,"3,360,000,000"
12/1/2021,"3,830,000,000"
12/2/2021,"3,630,000,000"
12/3/2021,"3,680,000,000"
12/6/2021,"3,720,000,000"
12/7/2021,"4,350,000,000"
12/8/2021,"5,530,000,000"
12/9/2021,"4,970,000,000"
12/10/2021,"4,360,000,000"
12/13/2021,"4,770,000,000"
12/14/2021,"6,270,000,000"
12/15/2021,"5,560,000,000"
12/16/2021,"5,940,000,000"
12/17/2021,"8,280,000,000"
12/20/2021,"5,040,000,000"
12/21/2021,"4,370,000,000"
12/22/2021,"4,580,000,000"
12/23/2021,"3,810,000,000"
12/24/2021,"2,530,000,000"
12/27/2021,"3,010,000,000"
12/28/2021,"2,580,000,000"
12/29/2021,"2,570,000,000"
12/30/2021,"2,340,000,000"
12/31/2021,"1,590,000,000"
1/3/2022,"2,290,000,000"
1/4/2022,"3,090,000,000"
1/5/2022,"2,390,000,000"
1/6/2022,"2,930,000,000"
1/7/2022,"3,500,000,000"
1/10/2022,"3,140,000,000"
1/11/2022,"3,870,000,000"
1/12/2022,"3,250,000,000"
1/13/2022,"3,400,000,000"
1/14/2022,"3,210,000,000"
1/17/2022,"3,850,000,000"
1/18/2022,"4,150,000,000"
1/19/2022,"4,920,000,000"
1/20/2022,"5,450,000,000"
1/21/2022,"3,150,000,000"
1/24/2022,"4,240,000,000"
1/25/2022,"2,650,000,000"
1/26/2022,"2,140,000,000"
1/27/2022,"2,540,000,000"
1/28/2022,"2,830,000,000"
1/31/2022,"2,310,000,000"
2/1/2022,"2,300,000,000"
2/2/2022,"3,060,000,000"
2/3/2022,"2,540,000,000"
2/4/2022,"2,070,000,000"
2/7/2022,"2,760,000,000"
2/8/2022,"2,390,000,000"
2/9/2022,"2,520,000,000"
2/10/2022,"2,510,000,000"
2/11/2022,"2,480,000,000"
2/14/2022,"2,990,000,000"
2/15/2022,"2,590,000,000"
2/16/2022,"2,120,000,000"
2/17/2022,"2,580,000,000"
2/18/2022,"1,760,000,000"
2/21/2022,"2,270,000,000"
2/22/2022,"2,680,000,000"
2/23/2022,"2,270,000,000"
2/24/2022,"2,430,000,000"
2/25/2022,"3,300,000,000"
2/28/2022,"2,810,000,000"
3/1/2022,"3,190,000,000"
3/2/2022,"2,510,000,000"
3/3/2022,"2,610,000,000"
3/4/2022,"2,900,000,000"
3/7/2022,"3,120,000,000"
3/8/2022,"3,050,000,000"
3/9/2022,"3,150,000,000"
3/10/2022,"3,280,000,000"
3/11/2022,"2,930,000,000"
3/14/2022,"2,700,000,000"
3/15/2022,"2,860,000,000"
3/16/2022,"2,390,000,000"
3/17/2022,"2,750,000,000"
3/18/2022,"2,220,000,000"
3/21/2022,"2,390,000,000"
3/22/2022,"2,620,000,000"
3/23/2022,"3,000,000,000"
3/24/2022,"2,710,000,000"
3/25/2022,"2,110,000,000"
3/28/2022,"2,830,000,000"
3/29/2022,"4,040,000,000"
3/30/2022,"3,580,000,000"
3/31/2022,"3,140,000,000"
4/1/2022,"3,590,000,000"
4/4/2022,"4,600,000,000"
4/5/2022,"4,700,000,000"
4/6/2022,"3,870,000,000"
4/7/2022,"3,550,000,000"
4/8/2022,"4,830,000,000"
4/11/2022,"6,380,000,000"
4/12/2022,"6,200,000,000"
4/13/2022,"5,350,000,000"
4/14/2022,"4,930,000,000"
4/15/2022,"3,440,000,000"
