Date,Price,,,,
1/28/2021,133.75,,,,
1/29/2021,134,,,,
2/1/2021,134.25,,,,
2/2/2021,133.88,,,,
2/3/2021,132.88,,,,
2/4/2021,132.5,,,,
2/5/2021,133,,,,
2/8/2021,131.75,,,,
2/9/2021,132,,,,
2/10/2021,132,,,,
2/11/2021,132.5,,,,
2/12/2021,132.25,,,,
2/15/2021,130.38,,,,
2/16/2021,130.38,,,,
2/17/2021,127.88,,,,
2/18/2021,127.88,,,,
2/19/2021,127.88,,,,
2/22/2021,128.88,,,,
2/23/2021,128.88,,,,
2/24/2021,128.88,,,,
2/25/2021,128.88,,,,
2/26/2021,124.25,,,,
3/1/2021,125.75,,,,
3/2/2021,125.5,,,,
3/3/2021,124.75,,,,
3/4/2021,124.75,,,,
3/5/2021,122.38,,,,
3/8/2021,122.38,,,,
3/9/2021,122.38,,,,
3/10/2021,122.38,,,,
3/11/2021,122.38,,,,
3/12/2021,122.38,,,,
3/15/2021,122.38,,,,
3/16/2021,122.38,,,,
3/17/2021,121.75,,,,
3/18/2021,121.75,,,,
3/19/2021,118.5,,,,
3/22/2021,118.5,,,,
3/23/2021,118,,,,
3/24/2021,118.25,,,,
3/25/2021,118.25,,,,
3/26/2021,118.62,,,,
3/29/2021,118.62,,,,
3/30/2021,117.88,,,,
3/31/2021,118.5,,,,
4/1/2021,119.12,,,,
4/2/2021,119.12,,,,
4/5/2021,119.12,,,,
4/6/2021,118.75,,,,
4/7/2021,117.88,,,,
4/8/2021,118.75,,,,
4/9/2021,118.88,,,,
4/12/2021,119,,,,
4/13/2021,117.62,,,,
4/14/2021,121.25,,,,
4/15/2021,121.7,,,,
4/16/2021,124,,,,
4/19/2021,123.5,,,,
4/20/2021,123.5,,,,
4/21/2021,122.62,,,,
4/22/2021,124.25,,,,
4/23/2021,124.25,,,,
4/26/2021,124,,,,
4/27/2021,123.5,,,,
4/28/2021,122.88,,,,
4/29/2021,122.88,,,,
4/30/2021,123.12,,,,
5/3/2021,123,,,,
5/4/2021,123,,,,
5/5/2021,123.38,,,,
5/6/2021,123.88,,,,
5/7/2021,124.12,,,,
5/10/2021,124.25,,,,
5/11/2021,123.38,,,,
5/12/2021,122.88,,,,
5/13/2021,122.38,,,,
5/14/2021,123.5,,,,
5/17/2021,123.5,,,,
5/18/2021,123.62,,,,
5/19/2021,123,,,,
