Date,GDAM
3/22/2022,143.068
3/23/2022,143.369
3/24/2022,143.557
3/25/2022,143.982
3/28/2022,142.946
3/29/2022,143.561
3/30/2022,143.444
3/31/2022,144.138
4/1/2022,143.666
4/4/2022,144.287
4/5/2022,144.028
4/6/2022,143.255
4/7/2022,143.09
4/8/2022,143.532
4/11/2022,142.562
4/12/2022,143.115
4/13/2022,142.618
4/14/2022,142.546
4/18/2022,142.633
4/19/2022,142.312
4/20/2022,142.056
4/21/2022,141.578
4/22/2022,141.195
4/25/2022,140.459
4/26/2022,140.008
4/27/2022,139.645
4/28/2022,139.205
4/29/2022,138.69
4/30/2022,138.712
5/2/2022,139.206
5/3/2022,138.612
5/4/2022,137.655
5/5/2022,137.914
5/6/2022,137.223
5/9/2022,136.386
5/10/2022,136.451
5/11/2022,136.166
5/12/2022,137.585
5/13/2022,137.19
5/16/2022,137.153
5/17/2022,137.634
5/18/2022,137.037
5/19/2022,136.902
5/20/2022,137.556
5/23/2022,138.212
5/24/2022,137.627
5/25/2022,137.858
5/26/2022,138.152
5/27/2022,138.588
5/30/2022,138.631
5/31/2022,138.997
6/1/2022,138.708
6/2/2022,138.912
6/3/2022,138.887
6/6/2022,138.669
6/7/2022,138.143
6/8/2022,138.437
6/9/2022,138.707
6/10/2022,137.702
6/13/2022,136.712
6/14/2022,135.646
6/15/2022,135.36
6/16/2022,135.367
6/17/2022,135.553
6/20/2022,135.618
6/21/2022,135.22
6/22/2022,135.628
6/23/2022,135.842
6/24/2022,135.719
6/27/2022,135.65
6/28/2022,134.756
6/29/2022,134.413
